picture,xmax,ymax,xmin,ymin
200000_S29.png,30,11,71,91
200001_V13.png,12,88,99,119
200002_V13.png,13,119,93,149
200003_G43.png,19,148,89,237
200004_D21.png,11,236,90,264
200005_O50.png,28,264,80,304
200006_X1.png,22,306,88,335
200007_M23.png,23,330,80,409
200008_G43.png,17,404,91,498
200009_S29.png,35,499,65,579
200010_V13.png,10,572,94,614
200011_M23.png,23,614,80,706
200012_G43.png,17,705,86,798
200013_D21.png,16,795,93,828
200014_O50.png,32,825,83,866
200015_V13.png,6,863,98,896
200016_G43.png,18,897,92,1001
200017_S29.png,29,1001,77,1086
200018_V13.png,12,1084,98,1120
200019_M23.png,23,1117,85,1206
200020_G43.png,21,1204,92,1297
200021_D21.png,14,1298,96,1324
200022_O50.png,27,1327,83,1367
200023_V13.png,10,1366,97,1403
200024_G43.png,17,1402,90,1491
200025_G17.png,6,1491,88,1577
200026_D21.png,106,14,186,43
200027_Y5.png,105,42,191,74
200028_N35.png,104,75,192,96
200029_UNKNOWN.png,103,98,188,125
200030_UNKNOWN.png,103,126,187,153
200031_UNKNOWN.png,104,151,186,177
200032_S29.png,124,178,169,264
200033_N35.png,100,263,194,285
200034_D36.png,105,285,192,319
200035_M1.png,133,318,166,399
200036_D36.png,107,388,195,415
200037_E34.png,117,437,175,479
200038_N35.png,119,479,181,493
200039_M17.png,155,494,176,556
200040_S29.png,127,493,151,558
200041_D2.png,122,572,184,636
200042_UNKNOWN.png,109,632,192,663
200043_UNKNOWN.png,131,660,178,784
200044_U33.png,158,780,195,868
200045_M17.png,116,781,146,872
200046_N35.png,108,877,197,901
200047_Y5.png,108,902,194,937
200048_N35.png,105,940,197,965
200049_G43.png,113,960,189,1059
200050_V28.png,164,1060,196,1149
200051_G43.png,104,1061,169,1151
200052_X1.png,129,1151,181,1173
200053_N1.png,109,1175,198,1201
200054_M17.png,164,1199,191,1280
200055_W25.png,115,1200,169,1281
200056_N35.png,105,1283,196,1303
200057_N35.png,105,1301,196,1321
200058_I9.png,107,1320,195,1356
200059_M17.png,136,1355,164,1442
200060_D36.png,109,1438,194,1477
200061_X1.png,133,1474,177,1498
200062_N31.png,112,1495,192,1537
200063_N35.png,108,1541,195,1560
200064_D21.png,206,15,283,42
200065_UNKNOWN.png,204,44,282,94
200066_E23.png,202,90,288,133
200067_Q3.png,250,137,286,178
200068_X1.png,207,143,247,170
200069_N1.png,203,181,288,202
200070_D21.png,207,200,284,227
200071_UNKNOWN.png,202,231,284,270
200072_Y2.png,211,270,280,287
200073_UNKNOWN.png,211,294,285,336
200074_D21.png,208,334,284,358
200075_N37.png,208,357,284,387
200076_H6.png,263,389,289,482
200077_G43.png,201,390,265,487
200078_X1.png,224,482,270,508
200079_D36.png,203,498,287,535
200080_V28.png,250,534,286,627
